"RT..NO.","BCR","State","RT..NAME","Patch.Density","Largest.Patch.Index","Aggregation.Index","km"
2001,27,"Alabama","ST FLORIAN",18.89,8.42,77.18,2
2002,24,"Alabama","HILLSBORO",21.59,8.34,74.05,2
2004,28,"Alabama","TRADE",23.11,7.6,72.57,2
2005,28,"Alabama","SUMMITT",22.88,6.3,73.99,2
2006,24,"Alabama","VALHRMSA SPG",21.51,5.72,75.52,2
2007,24,"Alabama","SWAIM",13.19,9.39,83.14,2
2008,28,"Alabama","PINE GROVE",22.94,6.65,75.21,2
2009,28,"Alabama","DAWSON",20.13,5.82,75.68,2
2010,29,"Alabama","MILLERVILLE",16.51,9.87,77.8,2
2011,28,"Alabama","DEARMANVILLE",22.45,7.06,74.66,2
2012,28,"Alabama","SUNNY EVE",11.62,27.99,80.32,2
2013,28,"Alabama","GREENSPORT",23.99,6.39,73.62,2
2014,28,"Alabama","SMYER LAKE",23.98,12.36,73.27,2
2015,28,"Alabama","MT OLIVE",24.65,3.94,72.88,2
2016,27,"Alabama","HOWARD",28.66,2.12,69.03,2
2017,28,"Alabama","MAYTOWN",26.02,8.02,71.48,2
2019,27,"Alabama","LIBERTY",22.85,6.27,73.86,2
2020,27,"Alabama","RIDERWOOD",23.46,2.06,72.75,2
2021,27,"Alabama","LINDEN",22.51,3.02,72.82,2
2022,27,"Alabama","HARRELL",21.71,3.17,74.81,2
2023,27,"Alabama","GREENSBORO",21.39,5.3,73.17,2
2024,27,"Alabama","SPRAGUE",25.35,3.45,70.7,2
2025,27,"Alabama","BILLINGSLEY",24,12.34,72.36,2
2026,27,"Alabama","WALLSBORO",26.23,4.69,70.89,2
2027,27,"Alabama","WARRIOR STD",26.39,3.74,69.28,2
2028,29,"Alabama","LANETT",19.28,4.04,75.65,2
2029,27,"Alabama","COTTONTON",29.16,1.83,69.04,2
2030,27,"Alabama","NEWTON",23.96,2.88,72.52,2
2031,27,"Alabama","GRANGEBURG",25.61,2.12,72.87,2
2032,27,"Alabama","BRUNDIDGE",29.65,2.26,68.08,2
2033,27,"Alabama","BRANTLEY",26.38,9.22,71.13,2
2034,27,"Alabama","SOUTH",22.2,4.11,73.42,2
2035,27,"Alabama","MCLELLAN",15.8,24.7,79.17,2
2036,27,"Alabama","BEATRICE",23.59,5,73.38,2
2037,27,"Alabama","LATHAM",22.05,8.48,73.24,2
2038,27,"Alabama","CASTLEBERRY",21.18,9.25,74.52,2
2039,27,"Alabama","MILLRY",24.23,1.53,71.31,2
2040,27,"Alabama","DAUPHIN IS",11.78,35.13,84.58,2
2041,27,"Alabama","ALABAMA PT",10.46,20.12,86.25,2
2042,27,"Alabama","FOLEY",16.06,3.61,79.85,2
2043,27,"Alabama","BLOCTON",23.86,7.78,73.34,2
2044,28,"Alabama","BIRMINGHAM",18.04,19.76,73.52,2
2045,27,"Alabama","WHITEHOUSE",24.06,6.04,72.98,2
