"RT..NO.","BCR","State","RT..NAME","RT..LENG.","NLCD.0","NLCD.11","NLCD.12","NLCD.21","NLCD.22","NLCD.23","NLCD.24","NLCD.31","NLCD.41","NLCD.42","NLCD.43","NLCD.52","NLCD.71","NLCD.81","NLCD.82","NLCD.90","NLCD.95","SUM","km"
2001,27,"Alabama","ST FLORIAN",39343.2,0,3595,0,9092,4433,1316,269,0,19317,2436,1986,7175,845,27227,8844,1573,133,88241,1
2002,24,"Alabama","HILLSBORO",38721.3,0,332,0,3971,329,77,0,165,23972,5928,6170,5333,4216,20477,7842,5753,0,84565,1
2004,28,"Alabama","TRADE",38132.3,0,1115,0,3894,537,262,18,91,25049,6792,8146,4336,2041,32918,1398,640,6,87243,1
2005,28,"Alabama","SUMMITT",39094,0,228,0,6402,3361,773,220,223,20544,4275,4729,4992,2538,36595,3843,823,7,89553,1
2006,24,"Alabama","VALHRMSA SPG",46576,0,14234,0,6740,6824,3866,1839,52,17052,4303,3688,6006,2189,19271,12655,6574,20,105313,1
2007,24,"Alabama","SWAIM",44022,0,212,0,5436,1502,238,26,46,34149,2324,4276,4675,1774,27038,14711,2787,117,99311,1
2008,28,"Alabama","PINE GROVE",40435,0,10315,0,5312,3169,885,265,297,17766,16605,6688,3788,4534,13615,7324,994,85,91642,1
2009,28,"Alabama","DAWSON",40163.5,0,1243,0,5169,1106,388,22,16,16614,3896,9807,3084,1250,38953,10060,394,0,92002,1
2010,29,"Alabama","MILLERVILLE",40426.6,0,253,0,4572,123,23,0,526,40522,20678,886,2871,7954,9383,25,2048,7,89871,1
2011,28,"Alabama","DEARMANVILLE",35248.4,0,204,0,6717,1313,128,3,129,23190,13293,5501,1790,4610,21370,2166,531,0,80945,1
2012,28,"Alabama","SUNNY EVE",35108.3,0,876,0,3169,193,0,0,55,42501,21249,460,304,1134,3041,689,150,0,73821,1
2013,28,"Alabama","GREENSPORT",37452.4,0,1173,0,8608,1622,1501,249,660,30178,8521,3043,4439,6398,14874,1750,1781,5,84802,1
2014,28,"Alabama","SMYER LAKE",42712.8,0,1653,0,13198,4768,1730,149,713,34093,15695,4664,3676,6036,6539,896,2000,0,95810,1
2015,28,"Alabama","MT OLIVE",40920.3,0,751,0,7059,684,166,12,753,30543,14127,3534,5069,6447,16652,5199,691,0,91687,1
2016,27,"Alabama","HOWARD",41849.7,0,328,0,6257,1024,758,392,23,28462,10528,10922,13987,2346,7871,6692,4052,55,93697,1
2017,28,"Alabama","MAYTOWN",39765.3,0,1990,0,6353,227,41,16,487,34852,25323,8524,5737,2603,2328,93,788,18,89380,1
2019,27,"Alabama","LIBERTY",41622.1,0,687,0,5562,737,132,10,29,28391,10866,11391,12608,1435,8957,1645,11295,216,93961,1
2020,27,"Alabama","RIDERWOOD",37579.8,0,566,0,4664,192,9,0,0,14285,20450,14613,8684,2488,7940,559,11793,131,86374,1
2021,27,"Alabama","LINDEN",47011.2,0,250,0,3708,82,60,0,12,16837,33903,16803,14114,5250,4462,1260,7948,24,104713,1
2022,27,"Alabama","HARRELL",39821.1,0,1169,0,6062,275,54,0,71,5773,21046,5237,5404,776,25381,4086,14716,1259,91309,1
2023,27,"Alabama","GREENSBORO",38349,0,713,0,3703,24,5,0,38,24950,17416,17831,10473,926,2301,2260,5114,277,86031,1
2024,27,"Alabama","SPRAGUE",42658.8,0,800,0,3125,307,37,0,5,33307,19632,6384,14395,1870,5974,4928,4164,229,95157,1
2025,27,"Alabama","BILLINGSLEY",40750,0,931,0,5542,888,133,0,247,25281,10107,9198,11086,3075,16844,6313,2183,12,91840,1
2026,27,"Alabama","WALLSBORO",42437.3,0,948,0,5073,712,166,35,354,27739,8549,15032,12169,426,11758,6677,5511,46,95195,1
2027,27,"Alabama","WARRIOR STD",41772.3,0,1353,0,7443,1990,554,252,3332,13711,20011,17719,9867,283,8659,4196,4775,106,94251,1
2028,29,"Alabama","LANETT",40098.4,0,905,0,4886,1458,270,87,41,24352,26389,1455,4729,6999,17063,48,2404,0,91086,1
2029,27,"Alabama","COTTONTON",37971.5,0,1495,0,5544,1019,115,16,0,13928,17144,9176,14556,371,9264,6379,7754,136,86897,1
2030,27,"Alabama","NEWTON",40052.1,0,333,0,5044,715,56,10,89,7512,14640,3178,15094,692,10991,31228,1680,86,91348,1
2031,27,"Alabama","GRANGEBURG",38757.8,0,369,0,4692,640,102,5,7,5974,13154,1997,12254,1151,9396,33001,5277,124,88143,1
